Run,Assay Type,AvgSpotLen,Bases,BioProject,BioSample,BioSampleModel,Bytes,Center Name,Collection_Date,Consent,DATASTORE filetype,DATASTORE provider,DATASTORE region,env_broad_scale,env_local_scale,env_medium,Experiment,geo_loc_name_country,geo_loc_name_country_continent,geo_loc_name,Host,Instrument,Lat_Lon,Library Name,LibraryLayout,LibrarySelection,LibrarySource,Organism,Platform,ReleaseDate,create_date,version,Sample Name,SRA Study,TMP
SRR18750480,AMPLICON,501,18156324,PRJNA826738,SAMN27579669,"MIMS.me,MIGS/MIMS/MIMARKS.human-gut",10285250,RUIJIN HOSPITAL,2018,public,"fastq,run.zq,sra","s3,gs,ncbi","gs.US,s3.us-east-1,ncbi.public",Human gut,gut microbiome,stool,SRX14850634,China,Asia,China:Shanghai,Homosapiens,Illumina HiSeq 2500,31.11 N 121.29 E,PD91-1,PAIRED,PCR,METAGENOMIC,gut metagenome,ILLUMINA,2022-10-31T00:00:00Z,2022-04-14T09:30:00Z,1,PD91-1,SRP370205,85
SRR18750481,AMPLICON,501,19300928,PRJNA826738,SAMN27579668,"MIMS.me,MIGS/MIMS/MIMARKS.human-gut",10668523,RUIJIN HOSPITAL,2018,public,"sra,run.zq,fastq","s3,ncbi,gs","s3.us-east-1,gs.US,ncbi.public",Human gut,gut microbiome,stool,SRX14850633,China,Asia,China:Shanghai,Homosapiens,Illumina HiSeq 2500,31.11 N 121.29 E,PD90-1,PAIRED,PCR,METAGENOMIC,gut metagenome,ILLUMINA,2022-10-31T00:00:00Z,2022-04-14T09:29:00Z,1,PD90-1,SRP370205,84
SRR18750482,AMPLICON,500,17570497,PRJNA826738,SAMN27579667,"MIMS.me,MIGS/MIMS/MIMARKS.human-gut",9724466,RUIJIN HOSPITAL,2018,public,"fastq,run.zq,sra","ncbi,s3,gs","s3.us-east-1,ncbi.public,gs.US",Human gut,gut microbiome,stool,SRX14850632,China,Asia,China:Shanghai,Homosapiens,Illumina HiSeq 2500,31.11 N 121.29 E,PD89-1,PAIRED,PCR,METAGENOMIC,gut metagenome,ILLUMINA,2022-10-31T00:00:00Z,2022-04-14T09:30:00Z,1,PD89-1,SRP370205,83
SRR18750483,AMPLICON,501,18373640,PRJNA826738,SAMN27579666,"MIMS.me,MIGS/MIMS/MIMARKS.human-gut",10303135,RUIJIN HOSPITAL,2018,public,"sra,fastq,run.zq","s3,gs,ncbi","ncbi.public,gs.US,s3.us-east-1",Human gut,gut microbiome,stool,SRX14850631,China,Asia,China:Shanghai,Homosapiens,Illumina HiSeq 2500,31.11 N 121.29 E,PD88-1,PAIRED,PCR,METAGENOMIC,gut metagenome,ILLUMINA,2022-10-31T00:00:00Z,2022-04-14T09:30:00Z,1,PD88-1,SRP370205,82
SRR18750484,AMPLICON,501,19048473,PRJNA826738,SAMN27579665,"MIMS.me,MIGS/MIMS/MIMARKS.human-gut",10464264,RUIJIN HOSPITAL,2018,public,"sra,run.zq,fastq","gs,ncbi,s3","ncbi.public,gs.US,s3.us-east-1",Human gut,gut microbiome,stool,SRX14850630,China,Asia,China:Shanghai,Homosapiens,Illumina HiSeq 2500,31.11 N 121.29 E,PD87-1,PAIRED,PCR,METAGENOMIC,gut metagenome,ILLUMINA,2022-10-31T00:00:00Z,2022-04-14T09:30:00Z,1,PD87-1,SRP370205,81
SRR18750485,AMPLICON,500,18514493,PRJNA826738,SAMN27579593,"MIMS.me,MIGS/MIMS/MIMARKS.human-gut",10069281,RUIJIN HOSPITAL,2018,public,"sra,fastq,run.zq","gs,ncbi,s3","s3.us-east-1,ncbi.public,gs.US",Human gut,gut microbiome,stool,SRX14850629,China,Asia,China:Shanghai,Homosapiens,Illumina HiSeq 2500,31.11 N 121.29 E,PD10-1,PAIRED,PCR,METAGENOMIC,gut metagenome,ILLUMINA,2022-10-31T00:00:00Z,2022-04-14T09:30:00Z,1,PD10-1,SRP370205,9
SRR18750486,AMPLICON,501,18001604,PRJNA826738,SAMN27579664,"MIMS.me,MIGS/MIMS/MIMARKS.human-gut",9820989,RUIJIN HOSPITAL,2018,public,"run.zq,fastq,sra","gs,ncbi,s3","ncbi.public,s3.us-east-1,gs.US",Human gut,gut microbiome,stool,SRX14850628,China,Asia,China:Shanghai,Homosapiens,Illumina HiSeq 2500,31.11 N 121.29 E,PD86-1,PAIRED,PCR,METAGENOMIC,gut metagenome,ILLUMINA,2022-10-31T00:00:00Z,2022-04-14T09:30:00Z,1,PD86-1,SRP370205,80
SRR18750487,AMPLICON,500,19050782,PRJNA826738,SAMN27579663,"MIMS.me,MIGS/MIMS/MIMARKS.human-gut",10778018,RUIJIN HOSPITAL,2018,public,"run.zq,fastq,sra","s3,gs,ncbi","ncbi.public,s3.us-east-1,gs.US",Human gut,gut microbiome,stool,SRX14850627,China,Asia,China:Shanghai,Homosapiens,Illumina HiSeq 2500,31.11 N 121.29 E,PD85-1,PAIRED,PCR,METAGENOMIC,gut metagenome,ILLUMINA,2022-10-31T00:00:00Z,2022-04-14T09:30:00Z,1,PD85-1,SRP370205,79
SRR18750488,AMPLICON,500,18110956,PRJNA826738,SAMN27579662,"MIMS.me,MIGS/MIMS/MIMARKS.human-gut",9959822,RUIJIN HOSPITAL,2018,public,"run.zq,sra,fastq","ncbi,s3,gs","gs.US,ncbi.public,s3.us-east-1",Human gut,gut microbiome,stool,SRX14850626,China,Asia,China:Shanghai,Homosapiens,Illumina HiSeq 2500,31.11 N 121.29 E,PD84-1,PAIRED,PCR,METAGENOMIC,gut metagenome,ILLUMINA,2022-10-31T00:00:00Z,2022-04-14T09:29:00Z,1,PD84-1,SRP370205,78
SRR18750489,AMPLICON,501,18784199,PRJNA826738,SAMN27579661,"MIMS.me,MIGS/MIMS/MIMARKS.human-gut",10458078,RUIJIN HOSPITAL,2018,public,"sra,run.zq,fastq","s3,ncbi,gs","gs.US,s3.us-east-1,ncbi.public",Human gut,gut microbiome,stool,SRX14850625,China,Asia,China:Shanghai,Homosapiens,Illumina HiSeq 2500,31.11 N 121.29 E,PD83-1,PAIRED,PCR,METAGENOMIC,gut metagenome,ILLUMINA,2022-10-31T00:00:00Z,2022-04-14T09:30:00Z,1,PD83-1,SRP370205,77
