# Constructed from biom file
#OTU ID	10483.recip.220.WT.OB1.D7	10483.recip.290.ASO.OB2.D1	10483.recip.389.WT.HC2.D21	10483.recip.391.ASO.PD2.D7
3d9838f12f6ff5591dbadeb427a855f1	303.0	706.0	803.0	643.0
ac5402de1ddf427ab8d2b0a8a0a44f19	847.0	501.0	524.0	580.0
ea2b0e4a93c24c6c3661cbe347f93b74	287.0	339.0	551.0	316.0
a66dd8d31584930c2b0f811f572dddcf	38.0	259.0	199.0	155.0
1ad289cd8f44e109fd95de0382c5b252	57.0	350.0	173.0	54.0
25def15fb42bed6855ede4893d27a21d	0.0	621.0	0.0	0.0
b47e999a38113e0e4e2b139e8b861fdd	99.0	161.0	259.0	77.0
04c8be5a3a6ba2d70446812e99318905	64.0	115.0	324.0	79.0
c4f9ef34bd2919511069f409c25de6f1	0.0	0.0	356.0	197.0
d5c52d867f4b3d86735eb8d8b3ff85f9	0.0	70.0	244.0	189.0
c162a4f3943238810eba8a25f0563cca	0.0	260.0	29.0	131.0
d39f37b814ebd81091a949f8bd9d1710	90.0	106.0	88.0	115.0
74ec9fe6ffab4ecff6d5def74298a825	11.0	27.0	76.0	184.0
599ba6458e91e2527f358f547ea39261	17.0	4.0	16.0	235.0
1276e75750b8088464a4275ad0c81579	11.0	0.0	190.0	0.0
f8f3e605678a490b72cab74f3fc2c52b	19.0	58.0	53.0	45.0
4c2189b6b5ced3cb80093414e9449de9	0.0	0.0	80.0	75.0
c5b4c6b372dbc13b6a7f2d466fc7335f	0.0	0.0	89.0	44.0
3128e057b1d4f320961e4da677724613	20.0	27.0	72.0	13.0
71eefb0527438cc9f3a3e91dccd3caa8	0.0	57.0	57.0	15.0
e644522cf6d7222c9da7f9ecf614cd89	0.0	52.0	71.0	0.0
eea6b86c0c75e740670ccc50613b1b23	30.0	72.0	0.0	16.0
48d9883fd871b82d9bbc89cb0447be8c	7.0	8.0	8.0	91.0
e6a34eb113dba66df0b8bbec907a8f5d	13.0	31.0	54.0	15.0
ed359a2407b2ca10646f03d8714727b8	8.0	17.0	38.0	50.0
f609a7a60f9d78d21f9d3344dd463ebd	21.0	26.0	31.0	29.0
539c656b9710b0099a96a678b3023299	0.0	0.0	0.0	103.0
ad52a0f6646c574417ce0b13b84acfa9	4.0	0.0	43.0	39.0
370829fece3190f1a8efccf50b7d0921	27.0	39.0	0.0	0.0
1ef782a559e3e0a4ab42516e0a2c828f	25.0	32.0	0.0	0.0
42019875482bfb1e4ef010ce0cc617b8	0.0	0.0	0.0	56.0
dafe809740d0545dc25c6939a84a1820	0.0	0.0	5.0	39.0
ed5952d1e022067b212146b9b3bc6812	19.0	0.0	13.0	9.0
98f949633286bc12c8a26a7ee2de2a55	0.0	0.0	0.0	41.0
61795ee8e60f4a0f66080ab812573fb8	0.0	39.0	0.0	0.0
3ca07c7b48bf227fc120979a40a65ecb	0.0	0.0	38.0	0.0
59196a586276f0be745d0e334fc071c6	32.0	0.0	0.0	0.0
39bb3fb5b2257fd2eacca408dc42c5d1	0.0	5.0	0.0	27.0
04195686f2b70585790ec75320de0d6f	25.0	5.0	0.0	0.0
4311a44a7d56ce4086afad3e75bedd6e	0.0	0.0	18.0	11.0
0c70bdd5631104dd3d818561c9166f6c	0.0	28.0	0.0	0.0
79280cea51a6fe8a3432b2f266dd34db	22.0	0.0	0.0	0.0
119d97b0ab7d5f1e877eece957a9120f	21.0	0.0	0.0	0.0
60c57911662a9159dfdd0fc05d975a55	0.0	0.0	0.0	21.0
b45c9784d674879d68d54362419a1d70	0.0	0.0	11.0	8.0
3f55a8ca784ae7190790023a30cd859c	0.0	0.0	0.0	17.0
cc968157f7691aab95df444e8cd103e2	8.0	0.0	0.0	8.0
ff88a3ff3ed651f80384b3440acb21d5	0.0	0.0	14.0	2.0
c8fce068920feb387167d44c01689295	0.0	0.0	0.0	16.0
3d766867c97f511431bf97e059d6498f	15.0	0.0	0.0	0.0
149e7d5e484d157f2ac6140a2111618e	14.0	0.0	0.0	0.0
611f25bcf2e9ccc3e91be10071526310	13.0	0.0	0.0	0.0
8928c13a470a9251a2ddb4d3a23b69c1	0.0	13.0	0.0	0.0
4fcfad4a1e7822b1d1fe3ea11b9170d6	12.0	0.0	0.0	0.0
589c1370b3324a2d6cff6d1ff85341d1	4.0	0.0	8.0	0.0
f383301e7fc9100853de9ac3bc236047	0.0	12.0	0.0	0.0
c04ae6cb04177b768e7f8a7259a8775e	0.0	0.0	12.0	0.0
fea3411c847e6627afb5e78b88e2e9af	11.0	0.0	0.0	0.0
a6659d7332df023910005e4404ed1537	9.0	0.0	0.0	0.0
51625f89e7332f46ab0641e10cede6ea	0.0	0.0	8.0	0.0
c82032c40c98975f71892e4be561c87a	0.0	0.0	8.0	0.0
86deb5cf8d6f29d383136e0d09863b69	0.0	0.0	0.0	8.0
fa6aacfaa894248eae0db0fa67161c63	0.0	7.0	0.0	0.0
8720f9ecd2331ce68e2896df1bf2d977	0.0	0.0	2.0	5.0
72d6ddeb60679dd2e2844fe039e1a760	0.0	0.0	7.0	0.0
4acc36d268585bc3834e627756313b21	0.0	0.0	7.0	0.0
9acc238746a1f2aa7745a0b5720c4eac	6.0	0.0	0.0	0.0
